analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,code_label,code_note,data_label,data_named_public_benchmark,data_note,data_public_benchmark_name,data_public_benchmark_note,data_public_external_dataset,data_public_external_dataset_note,data_public_external_dataset_type,doi,note,paper_id,phm_relevant,relevance_confidence,relevance_label,relevance_note,relevance_review_required,repro_audit_eligible,repro_score,retrieval_status,review_required,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3118,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i3.3118,,ijphm-2023-3118,,,,,False,True,0,full_text,False,ijphm,pypdf,Self-Adaptive Air-path Health Management for a Heavy Duty-Diesel Engine,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3122,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i3.3122,,ijphm-2023-3122,,,,,False,True,0,full_text,False,ijphm,pypdf,Machine Learning Based Approach for EVAP System Early Anomaly Detection Using Connected Vehicle Data,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3125,A5,,A4,False,"However, such data and the design of the experiment are not publicly available, and most welding setups are only equipped with voltage and current sensors, where no additional sensors are leveraged for monitoring.",,,False,,,10.36001/ijphm.2023.v14i3.3125,"However, such data and the design of the experiment are not publicly available, and most welding setups are only equipped with voltage and current sensors, where no additional sensors are leveraged for monitoring.",ijphm-2023-3125,,,,,False,True,1,full_text,False,ijphm,pypdf,Explainable Models for Multivariate Time-series Defect Classification of Arc Stud Welding,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3128,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i3.3128,,ijphm-2023-3128,,,,,False,True,0,full_text,False,ijphm,pypdf,Ground Fault Diagnostics for Automotive Electronic Control Units,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3129,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i3.3129,,ijphm-2023-3129,,,,,False,True,0,full_text,False,ijphm,pypdf,Diagnostics-oriented Model for Automotive SCR-ASC,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3130,A5,,A5,False,,,,True,"The corresponding proposed solutions and opportunities are also investigated: At the component level: Motor: • Combination of robust feature extraction methods during idle or startup conditions and the PHM techniques Battery: • Combination of NDT methods and machine learning techniques to improve the accuracy of the battery model (applicable for different kinds of EV batteries) • Research of SoC and SoH model s based on public datasets with practical driving patterns and informative environmental conditions Charging system: • Accurate PHM model of the charging system during operation At the system level: • Cybersecurity and operation safety of charging network • Research of optimization of high-impact elements on the whole charging network From these surveys, four aspects of the future vision in EV charging networks are proposed based on the intelligent maintenance perspective: Battery innovation: • The comprehensive PHM research of new EV batteries Charging optimization: • Optimization strategy in the charging process with WPT and existing technologies Infrastructure evolution: • Realization of bidirectional communication between EVs and charging network Sustainability: • Combination of existing PHM technology and innovative battery waste recycling mechanisms for battery maintenance scheduling or component replacement Thus, it is concluded that these suggestions could contribute to the innovation and development of EV networks and accelerate the deployment of EVs throughout the world.",public_dataset_claim,10.36001/ijphm.2023.v14i3.3130,,ijphm-2023-3130,,,,,False,True,0,full_text,False,ijphm,pypdf,Intelligent Maintenance of Electric Vehicle Battery Charging Systems and Networks,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3423,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i3.3423,,ijphm-2023-3423,,,,,False,True,0,full_text,False,ijphm,pypdf,Signal Abstraction for Root Cause Identification of Control Systems Malfunctions in Connected Vehicles,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3417,A2,Our implementation code is publicly available on GitHub2to enable the reproducibility of the presented results.,A5,True,,C-MAPSS,"In Section 4, two single-point RUL predictors are conformalized using the CP methods, and their performance is evaluated experimentally using the C-MAPSS datasets.",True,"In Section 4, two single-point RUL predictors are conformalized using the CP methods, and their performance is evaluated experimentally using the C-MAPSS datasets.",named_benchmark,10.36001/ijphm.2023.v14i2.3417,Our implementation code is publicly available on GitHub2to enable the reproducibility of the presented results.,ijphm-2023-3417,,,,,False,True,3,full_text,False,ijphm,pypdf,Conformal Prediction Intervals for Remaining Useful Lifetime Estimation,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3425,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i2.3425,,ijphm-2023-3425,,,,,False,True,0,full_text,False,ijphm,pypdf,Domain Adaptation based Fault Diagnosis under Variable Operating Conditions of a Rock Drill,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3485,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i2.3485,,ijphm-2023-3485,,,,,False,True,0,full_text,False,ijphm,pypdf,Auxiliary Particle Filter for Prognostics and Health Management,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3486,A5,,A5,True,,C-MAPSS,The N-CMAPSS dataset is publicly available for download in NASA ’s Prognostics Center of Excellence Data Repository: https://www.nasa.gov/content/prognosticscenter-of-excellence-data-set-repository.,True,The N-CMAPSS dataset is publicly available for download in NASA ’s Prognostics Center of Excellence Data Repository: https://www.nasa.gov/content/prognosticscenter-of-excellence-data-set-repository.,named_benchmark,10.36001/ijphm.2023.v14i2.3486,,ijphm-2023-3486,,,,,False,True,0,full_text,False,ijphm,pypdf,Fault Prognosis of Turbofan Engines,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3497,A5,,A2,True,"Note that we are continuously updating our data collection with new information and data, and we welcome contributors who wish to share their ideas and new data with us for open access.",CWRU,"Table 1 summarizes several widely used benchmark data sets for PHM of the rotating machine applications in industry, including the Bearing Data Center at Case Western Reserve University (CWRU), the NASA Prognostics Center of Excellence, and the IMS Center at the University of Cincinnati.",True,"Table 1 summarizes several widely used benchmark data sets for PHM of the rotating machine applications in industry, including the Bearing Data Center at Case Western Reserve University (CWRU), the NASA Prognostics Center of Excellence, and the IMS Center at the University of Cincinnati.",named_benchmark,10.36001/ijphm.2023.v14i2.3497,"Note that we are continuously updating our data collection with new information and data, and we welcome contributors who wish to share their ideas and new data with us for open access.",ijphm-2023-3497,,,,,False,True,3,full_text,False,ijphm,pypdf,Open Heterogeneous Data for Condition Monitoring of Multi Faults in Rotating Machines Used in Different Operating Conditions,Technical Papers,2023
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3528,A5,,A5,False,,,,False,,,10.36001/ijphm.2023.v14i2.3528,,ijphm-2023-3528,,,,,False,True,0,full_text,False,ijphm,pypdf,RUL Prognostics,Technical Papers,2023
