analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,code_a1,code_a2,code_a3,code_a4,code_a5,code_confidence,code_label,code_note,code_reasons,code_supporting_urls,code_vote_summary,data_a1,data_a2,data_a3,data_a4,data_a5,data_confidence,data_label,data_named_public_benchmark,data_note,data_public_benchmark_name,data_public_benchmark_note,data_public_external_dataset,data_public_external_dataset_note,data_public_external_dataset_type,data_reasons,data_supporting_urls,data_vote_summary,doi,evidence_pointer,judge_vote_summary,main_urls,note,paper_id,phm_relevant,relevance_confidence,relevance_intro_excerpt,relevance_label,relevance_note,relevance_reasons,relevance_review_required,repro_audit_eligible,repro_score,retrieval_status,review_required,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3973,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3973,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3973,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3973/phmc_24_3973""]",,phm-2024-3973,,,,,,[],False,True,0,full_text,False,phm,pypdf,A Deep Learning Solution for Quality Control in a Die Casting Process,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4022,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.4022,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-4022,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/4022/phmc_24_4022"", ""https://papers.phmsociety.org/index.php/phmconf/article/download/4022/2592""]",,phm-2024-4022,,,,,,[],False,True,0,full_text,False,phm,pypdf,A Gamma Process Based Degradation Model with Fractional Gaussian Noise,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3929,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3929,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3929,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3929/phmc_24_3929""]",,phm-2024-3929,,,,,,[],False,True,0,full_text,False,phm,pypdf,A Process for Real-Time Monitoring of a Turboshaft Engine,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3911,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,IMS,The methodology is applied and evaluated on the publicly available IMS bearing dataset for early fault detection on data from one sensor or multiple sensors achieving high performance.,True,The methodology is applied and evaluated on the publicly available IMS bearing dataset for early fault detection on data from one sensor or multiple sensors achieving high performance.,named_benchmark,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3911,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3911,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3911/phmc_24_3911""]",,phm-2024-3911,,,,,,[],False,True,0,full_text,False,phm,pypdf,A Self-supervised Learning Approach for Anomaly Detection in Rotating Machinery,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3896,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3896,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3896,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3896/phmc_24_3896""]",,phm-2024-3896,,,,,,[],False,True,0,full_text,False,phm,pypdf,Advancing Light Aircraft Health Monitoring with Flight Phase Clustering,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4082,0,1,0,0,0,0.65,A2,defenses on the final deep learning models selected in Section 3. The accompanying code has been made available on GitHub.1. 1Accompanying code can be found at https://github.com/ micosyslab/mts-adv-attack-defense. 8 ANNUAL CONFERENCE OF TH,"[""ambiguous_public_claim""]","[""https://github.com/""]",openai/gpt-4o-mini:A2@0.65; anthropic/claude-3.5-haiku:A2@0.60; google/gemini-1.5-flash:A2@0.55,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://github.com/""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.4082,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-4082,openai/gpt-4o-mini:A2@0.65; anthropic/claude-3.5-haiku:A2@0.60; google/gemini-1.5-flash:A2@0.55 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/4082/phmc_24_4082""]",defenses on the final deep learning models selected in Section 3. The accompanying code has been made available on GitHub.1. 1Accompanying code can be found at https://github.com/ micosyslab/mts-adv-attack-defense. 8 ANNUAL CONFERENCE OF TH,phm-2024-4082,,,,,,[],False,True,3,full_text,False,phm,pypdf,Adversarial Attacks and Defenses in Multivariate Time-Series Forecasting for Smart and Connected Infrastructures,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3909,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,True,"However, due to confidentiality restrictions, we have only reported public datasets and results.",public_dataset_claim,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3909,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3909,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3909/phmc_24_3909""]",,phm-2024-3909,,,,,,[],False,True,0,full_text,False,phm,pypdf,AI+AR based Framework for Guided Visual Diagnosis of Equipment,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3869,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://data.phmsociety.org/phm2023-conference""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://data.phmsociety.org/phm2023-conference""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3869,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3869,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3869/phmc_24_3869""]",,phm-2024-3869,,,,,,[],False,True,0,full_text,False,phm,pypdf,An Advanced Diagnostic Model for Gearbox Degradation Prediction Under Various Operating Conditions and Degradation Levels,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3924,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,C-MAPSS,"Dataset In order to conduct degradation experiments, our study utilizes the New Commercial Modular AeroPropulsion System Simulation (N-CMAPSS) dataset, specifically DS01 (Arias Chao, Kulkarni, Goebel, & Fink, 2021).",True,"Dataset In order to conduct degradation experiments, our study utilizes the New Commercial Modular AeroPropulsion System Simulation (N-CMAPSS) dataset, specifically DS01 (Arias Chao, Kulkarni, Goebel, & Fink, 2021).",named_benchmark,"[""standard_benchmark_link""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3924,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3924,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3924/phmc_24_3924""]",,phm-2024-3924,,,,,,[],False,True,0,full_text,False,phm,pypdf,Assessing Aircraft Engine Wear through Simulation Techniques,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4141,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,True,"limited access to labeled data, and lack of public datasets.",public_dataset_claim,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.4141,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-4141,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/4141/phmc_24_4141""]",,phm-2024-4141,,,,,,[],False,True,0,full_text,False,phm,pypdf,Assumption-based Design of Hybrid Diagnosis Systems,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3913,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3913,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3913,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3913/phmc_24_3913""]",,phm-2024-3913,,,,,,[],False,True,0,full_text,False,phm,pypdf,Comparing Feature and Trajectory-Based Remaining Useful Life Modeling of Electrical Resistance Heating Wires,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3898,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,C-MAPSS,The experimental results on the C-MAPSS dataset demonstrate a significant improvement in the RUL prediction score and accuracy within the target domain.,True,The experimental results on the C-MAPSS dataset demonstrate a significant improvement in the RUL prediction score and accuracy within the target domain.,named_benchmark,"[""standard_benchmark_link""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3898,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3898,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3898/phmc_24_3898"", ""https://papers.phmsociety.org/index.php/phmconf/article/download/3898/2596""]",,phm-2024-3898,,,,,,[],False,True,0,full_text,False,phm,pypdf,CycleGAN-based Data Augmentation for Enhanced Remaining Useful Life Prediction Under Unsupervised Domain Adaptation,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4223,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.4223,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-4223,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/4223/phmc_24_4223""]",,phm-2024-4223,,,,,,[],False,True,0,full_text,False,phm,pypdf,Damage Diagnostics of Miter Gates Using Domain Adaptation and Normalizing Flow-Based Likelihood-Free Inference,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3899,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2024.v16i1.3899,data/processed/phm_society_conf/2024/audit/papers.jsonl#phm-2024-3899,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3899/phmc_24_3899""]",,phm-2024-3899,,,,,,[],False,True,0,full_text,False,phm,pypdf,Data-driven Detection of Engine Faults in Infrequently-driven Ground Vehicles,Technical Research Papers,2024
