analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,code_label,code_note,data_label,data_named_public_benchmark,data_note,data_public_benchmark_name,data_public_benchmark_note,data_public_external_dataset,data_public_external_dataset_note,data_public_external_dataset_type,doi,note,paper_id,phm_relevant,relevance_confidence,relevance_label,relevance_note,relevance_review_required,repro_audit_eligible,repro_score,retrieval_status,review_required,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3144,A5,,A2,False,"To the best of our knowledge, this is the only currently available public data set for internal faults on hydraulic rock drills.",,,False,,,10.36001/phmconf.2022.v14i1.3144,"To the best of our knowledge, this is the only currently available public data set for internal faults on hydraulic rock drills.",phm-2022-3144,,,,,False,True,3,full_text,False,phm,pypdf,"A Dataset for Fault Classification in Rock Drills, a Fast Oscillating Hydraulic System",Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3224,A5,,A5,True,,IMS,"NASA IMS Bearing Dataset The degradation of bearings is considered a nonlinear process, which can be seen from the NASA IMS bearing dataset [Lee, et al.",True,"NASA IMS Bearing Dataset The degradation of bearings is considered a nonlinear process, which can be seen from the NASA IMS bearing dataset [Lee, et al.",named_benchmark,10.36001/phmconf.2022.v14i1.3224,,phm-2022-3224,,,,,False,True,0,full_text,False,phm,pypdf,Machining Tool and Bearing Failure Analysis Using the Orthogonal Hilbert-Huang Transform on Vibration and Motor Current Datasets,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3148,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3148,,phm-2022-3148,,,,,False,True,0,full_text,False,phm,pypdf,Towards Predictive Maintenance of a Heavy-Duty Gas Turbine A New Hybrid Intelligent Methodology for Performance Simulation,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3188,A5,,A5,True,,C-MAPSS,"We develop synthetic data to illustrate the data quality scorecard assessment process based on the widely used open source C-MAPSS (Commercial Modular Aero-Propulsion System Simulation) data set, which is simulated data for turbo-fan engine degradation (Saxena et al., 2008).",True,"We develop synthetic data to illustrate the data quality scorecard assessment process based on the widely used open source C-MAPSS (Commercial Modular Aero-Propulsion System Simulation) data set, which is simulated data for turbo-fan engine degradation (Saxena et al., 2008).",named_benchmark,10.36001/phmconf.2022.v14i1.3188,,phm-2022-3188,,,,,False,True,0,full_text,False,phm,pypdf,A Data Quality Scorecard for Assessing the Suitability of Asset Condition Data for Prognostics Modeling,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3156,A5,,A5,True,,PRONOSTIA,"Critical Components’ Selection Methodology of a Microgripper for Intracorporeal Surgegy Liseth Pasaguayo1,2, Zeina Al Masry 1, Sergio Lescano2, and Noureddine Zerhouni 1 1 FEMTO-ST institute, Univ.",True,"Critical Components’ Selection Methodology of a Microgripper for Intracorporeal Surgegy Liseth Pasaguayo1,2, Zeina Al Masry 1, Sergio Lescano2, and Noureddine Zerhouni 1 1 FEMTO-ST institute, Univ.",named_benchmark,10.36001/phmconf.2022.v14i1.3156,,phm-2022-3156,,,,,False,True,0,full_text,False,phm,pypdf,Critical Components' Selection Methodology of a Microgripper for Intracorporeal Surgery,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3261,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3261,,phm-2022-3261,,,,,False,True,0,full_text,False,phm,pypdf,Remaining useful life estimation of turbofan engines using adaptive fault detection learning,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3227,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3227,,phm-2022-3227,,,,,False,True,0,full_text,False,phm,pypdf,Self adaptive learning scheme for Fault prognosis in oil wells and production & service lines,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3256,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3256,,phm-2022-3256,,,,,False,True,0,full_text,False,phm,pypdf,Integration of Nonlinear Dynamics and Machine learning for Diagnostics of a Single-Stage Gear Box,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3150,A5,,A4,False,"The datasets are acquired by Flanders Make, yet not publicly available.",,,False,,,10.36001/phmconf.2022.v14i1.3150,"The datasets are acquired by Flanders Make, yet not publicly available.",phm-2022-3150,,,,,False,True,1,full_text,False,phm,pypdf,A Discussion on the Differences Between the Cyclic Spectral Correlation and Coherence for Cyclostationarity-Based Condition Monitoring,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3220,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3220,,phm-2022-3220,,,,,False,True,0,full_text,False,phm,pypdf,Remaining Useful Life Prediction using Gaussian Process Regression Model,Technical Research Papers,2022
