analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,code_a1,code_a2,code_a3,code_a4,code_a5,code_confidence,code_label,code_note,code_reasons,code_supporting_urls,code_vote_summary,data_a1,data_a2,data_a3,data_a4,data_a5,data_confidence,data_label,data_named_public_benchmark,data_note,data_public_benchmark_name,data_public_benchmark_note,data_public_external_dataset,data_public_external_dataset_note,data_public_external_dataset_type,data_reasons,data_supporting_urls,data_vote_summary,doi,evidence_pointer,judge_vote_summary,main_urls,note,paper_id,phm_relevant,relevance_confidence,relevance_intro_excerpt,relevance_label,relevance_note,relevance_reasons,relevance_review_required,repro_audit_eligible,repro_score,retrieval_status,review_required,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3093,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3093""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3093""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3093,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3093,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3093/1982""]",,ijphm-2022-3093,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Ensemble Deep Learning for Detecting Onset of Abnormal Operation in Industrial Multi-component Systems,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3127,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3127""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3127""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3127,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3127,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3127/1974""]",,ijphm-2022-3127,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Towards Learning Causal Representations of Technical Word Embeddings for Smart Troubleshooting,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3132,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3132""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3132""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3132,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3132,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3132/1971""]",,ijphm-2022-3132,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Model-based Fusion of Surface Electromyography with Kinematic and Kinetic Measurements for Monitoring of Muscle Fatigue,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3137,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://www.marketsandmarkets.com/Market-Reports/""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,CWRU,"Instead, training and test datasets are created in lab environments with artiﬁcial or accelerated fault development, such as the Case Western Reserve University bearing dataset (Case Western Reserve University Bearing Data Center Website, n.d.), the Intelligent Maintenance System (IMS) by the University of Cincinnati dataset (NASA prognostic data repository, n.d.), and the Machinery Failure Prevention Technology (MFPT) dataset (Condition Based Maintenance Fault Database for Testing of Diagnostic and Prognostics Algorithms, n.d.), but typically generalise poorly to heterogeneous environments (Smith & Randall, 2015; S.",True,"Instead, training and test datasets are created in lab environments with artiﬁcial or accelerated fault development, such as the Case Western Reserve University bearing dataset (Case Western Reserve University Bearing Data Center Website, n.d.), the Intelligent Maintenance System (IMS) by the University of Cincinnati dataset (NASA prognostic data repository, n.d.), and the Machinery Failure Prevention Technology (MFPT) dataset (Condition Based Maintenance Fault Database for Testing of Diagnostic and Prognostics Algorithms, n.d.), but typically generalise poorly to heterogeneous environments (Smith & Randall, 2015; S.",named_benchmark,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3137"", ""https://www.marketsandmarkets.com/Market-Reports/""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3137,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3137,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3137/1983""]",,ijphm-2022-3137,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Technical Language Supervision for Intelligent Fault Diagnosis in Process Industry,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3138,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3138""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3138""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3138,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3138,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3138/1976""]",,ijphm-2022-3138,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Anomaly Detection of Servomotors Subject to Highly Accelerated Limit Testing,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3160,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3160""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3160""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3160,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3160,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3160/1975""]",,ijphm-2022-3160,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Automated Fault Tree Learning from Continuous-valued Sensor Data,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3205,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3205"", ""https://Behrtech.Com/Blog/Infographic-20-Mind"", ""https://Behrtech.Com/Blog/Infographic-20-Mind-Boggling-""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3205"", ""https://Behrtech.Com/Blog/Infographic-20-Mind"", ""https://Behrtech.Com/Blog/Infographic-20-Mind-Boggling-""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3205,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3205,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3205/1979""]",,ijphm-2022-3205,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,A Methodology for Selection of Condition Monitoring Techniques for Rotating Machinery,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3267,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2021.v13i2.3267""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,CWRU,"In addition, publicly available bearing datasets, CWRU (Case Western Reserve University, n.d.) and PU (Kimotho et al., 2016) are used to validate the proposed method.",True,"In addition, publicly available bearing datasets, CWRU (Case Western Reserve University, n.d.) and PU (Kimotho et al., 2016) are used to validate the proposed method.",named_benchmark,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2021.v13i2.3267""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3267,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3267,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3267/1981""]",,ijphm-2022-3267,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Similarity-based Multi-source Transfer Learning Approach for Time Series Classification,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3284,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3284""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,C-MAPSS,"This was originally completed as part of the 2021 PHM Society Data Challenge, which used the new Commercial Modular Aero- Propulsion System Simulation (N-CMAPSS) data set (Chao, Kulkarni, Goebel, & Fink, 2021).",True,"This was originally completed as part of the 2021 PHM Society Data Challenge, which used the new Commercial Modular Aero- Propulsion System Simulation (N-CMAPSS) data set (Chao, Kulkarni, Goebel, & Fink, 2021).",named_benchmark,"[""not_mentioned""]","[""https://doi.org/10.36001/IJPHM.2022.v13i2.3284""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i2.3284,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3284,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3284/2054""]",,ijphm-2022-3284,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Evaluating Image Classification Deep Convolutional Neural Network Architectures for Remaining Useful Life Estimation of Turbofan Engines,Technical Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/3045,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/ijphm.2022.v13i1.3045,data/processed/ijphm/2022/audit/papers.jsonl#ijphm-2022-3045,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/ijphm/article/download/3045/1892""]",,ijphm-2022-3045,,,,,,[],False,True,0,full_text,False,ijphm,pypdf,Data-driven approach for labelling process plant event data,Technical Papers,2022
